"HGNC symbol","Aliases","Common name","Description","Cytogenetic Location","OMIM","Ensembl","UniProt/Swiss-Prot","Entrez Gene","UniGene"
"FARP1","CDEP; PLEKHC2; PPP1R75; FARP1-IT1","FERM, ARH/RhoGEF and pleckstrin domain protein 1","This gene encodes a protein containing a FERM (4.2, exrin, radixin, moesin) domain, a Dbl homology domain, and two pleckstrin homology domains. These domains are found in guanine nucleotide exchange factors and proteins that link the cytoskeleton to the cell membrane. The encoded protein functions in neurons to promote dendritic growth. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Nov 2013]","13q32.2","602654","ENSG00000152767","C9JME2_HUMAN","10160","403917"
"FAS","APT1; CD95; FAS1; APO-1; FASTM; ALPS1A; TNFRSF6","Fas cell surface death receptor","The protein encoded by this gene is a member of the TNF-receptor superfamily. This receptor contains a death domain. It has been shown to play a central role in the physiological regulation of programmed cell death, and has been implicated in the pathogenesis of various malignancies and diseases of the immune system. The interaction of this receptor with its ligand allows the formation of a death-inducing signaling complex that includes Fas-associated death domain protein (FADD), caspase 8, and caspase 10. The autoproteolytic processing of the caspases in the complex triggers a downstream caspase cascade, and leads to apoptosis. This receptor has been also shown to activate NF-kappaB, MAPK3/ERK1, and MAPK8/JNK, and is found to be involved in transducing the proliferating signals in normal diploid fibroblast and T cells. Several alternatively spliced transcript variants have been described, some of which are candidates for nonsense-mediated mRNA decay (NMD). The isoforms lacking the transmembrane domain may negatively regulate the apoptosis mediated by the full length isoform. [provided by RefSeq, Mar 2011]","10q23.31","134637","ENSG00000026103","K9J972_HUMAN","355","244139"
"FASLG","APTL; FASL; CD178; CD95L; ALPS1B; CD95-L; TNFSF6; TNLG1A; APT1LG1","Fas ligand","This gene is a member of the tumor necrosis factor superfamily. The primary function of the encoded transmembrane protein is the induction of apoptosis triggered by binding to FAS. The FAS/FASLG signaling pathway is essential for immune system regulation, including activation-induced cell death (AICD) of T cells and cytotoxic T lymphocyte induced cell death. It has also been implicated in the progression of several cancers. Defects in this gene may be related to some cases of systemic lupus erythematosus (SLE). Alternatively spliced transcript variants have been described. [provided by RefSeq, Nov 2014]","1q24.3","134638","ENSG00000117560","Q53ZZ1_HUMAN","356","2007"
"FASTKD3","","FAST kinase domains 3","This gene encodes a member of a small family of Fas-activated serine/threonine kinase domain (FASTKD) containing proteins that share an amino terminal mitochondrial targeting domain and multiple carboxy terminal FAST domains as well as a putative RNA-binding RAP domain. The members of this family are ubiquitously expressed and are generally most abundant in mitochondria-enriched tissues such as heart, skeletal muscle and brown-adipose tissue. Some members of this protein family may play a role in apoptosis. The protein encoded by this gene interacts with components of the mitochondrial respiratory and translation networks. A pseudogene of this gene is also present on chromosome 5. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2013]","5p15.31","","ENSG00000124279","FAKD3_HUMAN","79072","653162"
"FAT4","FATJ; FAT-J; CDHF14; CDHR11; HKLLS2; VMLDS2; NBLA00548","FAT atypical cadherin 4","The protein encoded by this gene is a member of the protocadherin family. This gene may play a role in regulating planar cell polarity (PCP). Studies in mice suggest that loss of PCP signaling may cause cystic kidney disease, and mutations in this gene have been associated with Van Maldergem Syndrome 2. Alternatively spliced transcript variants have been noted for this gene. [provided by RefSeq, Mar 2014]","4q28.1","612411","ENSG00000196159","B3KU84_HUMAN","79633","563205"
"FCGR2A","CD32; FCG2; FcGR; CD32A; CDw32; FCGR2; IGFR2; FCGR2A1","Fc fragment of IgG receptor IIa","This gene encodes one member of a family of immunoglobulin Fc receptor genes found on the surface of many immune response cells. The protein encoded by this gene is a cell surface receptor found on phagocytic cells such as macrophages and neutrophils, and is involved in the process of phagocytosis and clearing of immune complexes. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2008]","1q23.3","146790","ENSG00000143226","FCG2A_HUMAN","2212","352642"
"FEN1","MF1; RAD2; FEN-1","flap structure-specific endonuclease 1","The protein encoded by this gene removes 5' overhanging flaps in DNA repair and processes the 5' ends of Okazaki fragments in lagging strand DNA synthesis. Direct physical interaction between this protein and AP endonuclease 1 during long-patch base excision repair provides coordinated loading of the proteins onto the substrate, thus passing the substrate from one enzyme to another. The protein is a member of the XPG/RAD2 endonuclease family and is one of ten proteins essential for cell-free DNA replication. DNA secondary structure can inhibit flap processing at certain trinucleotide repeats in a length-dependent manner by concealing the 5' end of the flap that is necessary for both binding and cleavage by the protein encoded by this gene. Therefore, secondary structure can deter the protective function of this protein, leading to site-specific trinucleotide expansions. [provided by RefSeq, Jul 2008]","11q12.2","600393","ENSG00000168496","FEN1_HUMAN","2237","409065"
"FGB","HEL-S-78p","fibrinogen beta chain","The protein encoded by this gene is the beta component of fibrinogen, a blood-borne glycoprotein comprised of three pairs of nonidentical polypeptide chains. Following vascular injury, fibrinogen is cleaved by thrombin to form fibrin which is the most abundant component of blood clots. In addition, various cleavage products of fibrinogen and fibrin regulate cell adhesion and spreading, display vasoconstrictor and chemotactic activities, and are mitogens for several cell types. Mutations in this gene lead to several disorders, including afibrinogenemia, dysfibrinogenemia, hypodysfibrinogenemia and thrombotic tendency. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jun 2014]","4q31.3","134830","ENSG00000171564","FIBB_HUMAN","2244","300774"
"FGD5","ZFYVE23","FYVE, RhoGEF and PH domain containing 5","","3p25.1","614788","ENSG00000154783","B7ZM68_HUMAN","152273","412406"
"FGFR1","CEK; FLG; HH2; OGD; ECCL; FLT2; KAL2; BFGFR; CD331; FGFBR; FLT-2; HBGFR; N-SAM; FGFR-1; HRTFDS; bFGF-R-1","fibroblast growth factor receptor 1","The protein encoded by this gene is a member of the fibroblast growth factor receptor (FGFR) family, where amino acid sequence is highly conserved between members and throughout evolution. FGFR family members differ from one another in their ligand affinities and tissue distribution. A full-length representative protein consists of an extracellular region, composed of three immunoglobulin-like domains, a single hydrophobic membrane-spanning segment and a cytoplasmic tyrosine kinase domain. The extracellular portion of the protein interacts with fibroblast growth factors, setting in motion a cascade of downstream signals, ultimately influencing mitogenesis and differentiation. This particular family member binds both acidic and basic fibroblast growth factors and is involved in limb induction. Mutations in this gene have been associated with Pfeiffer syndrome, Jackson-Weiss syndrome, Antley-Bixler syndrome, osteoglophonic dysplasia, and autosomal dominant Kallmann syndrome 2. Chromosomal aberrations involving this gene are associated with stem cell myeloproliferative disorder and stem cell leukemia lymphoma syndrome. Alternatively spliced variants which encode different protein isoforms have been described; however, not all variants have been fully characterized. [provided by RefSeq, Jul 2008]","8p11.23","136350","ENSG00000077782","A0A0S2Z3Q6_HUMAN","2260","264887"
"FGFR2","BEK; JWS; BBDS; CEK3; CFD1; ECT1; KGFR; TK14; TK25; BFR-1; CD332; K-SAM","fibroblast growth factor receptor 2","The protein encoded by this gene is a member of the fibroblast growth factor receptor family, where amino acid sequence is highly conserved between members and throughout evolution. FGFR family members differ from one another in their ligand affinities and tissue distribution. A full-length representative protein consists of an extracellular region, composed of three immunoglobulin-like domains, a single hydrophobic membrane-spanning segment and a cytoplasmic tyrosine kinase domain. The extracellular portion of the protein interacts with fibroblast growth factors, setting in motion a cascade of downstream signals, ultimately influencing mitogenesis and differentiation. This particular family member is a high-affinity receptor for acidic, basic and/or keratinocyte growth factor, depending on the isoform. Mutations in this gene are associated with Crouzon syndrome, Pfeiffer syndrome, Craniosynostosis, Apert syndrome, Jackson-Weiss syndrome, Beare-Stevenson cutis gyrata syndrome, Saethre-Chotzen syndrome, and syndromic craniosynostosis. Multiple alternatively spliced transcript variants encoding different isoforms have been noted for this gene. [provided by RefSeq, Jan 2009]","10q26.13","176943","ENSG00000066468","A0A141AXF1_HUMAN","2263","533683"
"FHIT","FRA3B; AP3Aase","fragile histidine triad","This gene, a member of the histidine triad gene family, encodes a diadenosine 5',5'''-P1,P3-triphosphate hydrolase involved in purine metabolism. The gene encompasses the common fragile site FRA3B on chromosome 3, where carcinogen-induced damage can lead to translocations and aberrant transcripts of this gene. In fact, aberrant transcripts from this gene have been found in about half of all esophageal, stomach, and colon carcinomas. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Oct 2009]","3p14.2","601153","ENSG00000189283","A0A024R366_HUMAN","2272","655995"
"FMN2","","formin 2","This gene is a member of the formin homology protein family. The encoded protein is thought to have essential roles in organization of the actin cytoskeleton and in cell polarity. Mutations in this gene have been associated with mental retardation autosomal recessive 47 (MRT47). Alternatively spliced transcript variants have been identified. [provided by RefSeq, Mar 2015]","1q43","606373","ENSG00000155816","FMN2_HUMAN","56776","24889"
"FOXO1","FKH1; FKHR; FOXO1A","forkhead box O1","This gene belongs to the forkhead family of transcription factors which are characterized by a distinct forkhead domain.  The specific function of this gene has not yet been determined; however, it may play a role in myogenic growth and differentiation. Translocation of this gene with PAX3 has been associated with alveolar rhabdomyosarcoma. [provided by RefSeq, Jul 2008]","13q14.11","136533","ENSG00000150907","FOXO1_HUMAN","2308","370666"
"FOXO3","FOXO2; AF6q21; FKHRL1; FOXO3A; FKHRL1P2","forkhead box O3","This gene belongs to the forkhead family of transcription factors which are characterized by a distinct forkhead domain. This gene likely functions as a trigger for apoptosis through expression of genes necessary for cell death. Translocation of this gene with the MLL gene is associated with secondary acute leukemia. Alternatively spliced transcript variants encoding the same protein have been observed. [provided by RefSeq, Jul 2008]","6q21","602681","ENSG00000118689","FOXO3_HUMAN","2309","220950"
"FOXO4","AFX; AFX1; MLLT7","forkhead box O4","This gene encodes a member of the O class of winged helix/forkhead transcription factor family. Proteins encoded by this class are regulated by factors involved in growth and differentiation indicating they play a role in these processes. A translocation involving this gene on chromosome X and the homolog of the Drosophila trithorax gene, encoding a DNA binding protein, located on chromosome 11 is associated with leukemia. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jan 2010]","Xq13.1","300033","ENSG00000184481","FOXO4_HUMAN","4303","584654"
"FOXO6","","forkhead box O6","","1p34.2","611457","","","100132074","559677"
"FRMD4A","FRMD4; CCAFCA; bA295P9.4","FERM domain containing 4A","This gene encodes a FERM domain-containing protein that regulates epithelial cell polarity. It connects ADP ribosylation factor 6 (ARF6) with the Par protein complex, which regulates the remodeling of adherens junctions and linear actin cable formation during epithelial cell polarization. Polymorphisms in this gene are associated with Alzheimer's disease, and also with nicotine dependence. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2015]","10p13","616305","ENSG00000151474","FRM4A_HUMAN","55691","330463"
"FRYL","MOR2; AF4p12; KIAA0826","FRY like transcription coactivator","","4p11","","ENSG00000075539","B3KXG5_HUMAN","285527","595553"
"FSHR","LGR1; ODG1; FSHR1; FSHRO","follicle stimulating hormone receptor","The protein encoded by this gene belongs to family 1 of G-protein coupled receptors. It is the receptor for follicle stimulating hormone and functions in gonad development. Mutations in this gene cause ovarian dysgenesis type 1, and also ovarian hyperstimulation syndrome. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Mar 2010]","2p16.3","136435","ENSG00000170820","A0A1D5RMN4_HUMAN","2492","1428"
"FTO","GDFD; ALKBH9; BMIQ14","FTO, alpha-ketoglutarate dependent dioxygenase","This gene is a nuclear protein of the AlkB related non-haem iron and 2-oxoglutarate-dependent oxygenase superfamily but the exact physiological function of this gene is not known. Other non-heme iron enzymes function to reverse alkylated DNA and RNA damage by oxidative demethylation. Studies in mice and humans indicate a role in nervous and cardiovascular systems and a strong association with body mass index, obesity risk, and type 2 diabetes. [provided by RefSeq, Jul 2011]","16q12.2","610966","ENSG00000140718","A0A1B0GTC5_HUMAN","79068","528833"
"G6PD","G6PD1","glucose-6-phosphate dehydrogenase","This gene encodes glucose-6-phosphate dehydrogenase. This protein is a cytosolic enzyme encoded by a housekeeping X-linked gene whose main function is to produce NADPH, a key electron donor in the defense against oxidizing agents and in reductive biosynthetic reactions. G6PD is remarkable for its genetic diversity. Many variants of G6PD, mostly produced from missense mutations, have been described with wide ranging levels of enzyme activity and associated clinical symptoms. G6PD deficiency may cause neonatal jaundice, acute hemolysis, or severe chronic non-spherocytic hemolytic anemia. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]","Xq28","305900","ENSG00000160211","G6PD_HUMAN","2539","461047"
"GABPB1","E4TF1; GABPB; BABPB2; E4TF1B; GABPB2; NRF2B1; NRF2B2; GABPB-1; E4TF1-47; E4TF1-53","GA binding protein transcription factor beta subunit 1","This gene encodes the GA-binding protein transcription factor, beta subunit. This protein forms a tetrameric complex with the alpha subunit, and stimulates transcription of target genes. The encoded protein may be involved in activation of cytochrome oxidase expression and nuclear control of mitochondrial function. The crystal structure of a similar protein in mouse has been resolved as a ternary protein complex. Multiple transcript variants encoding distinct isoforms have been identified for this gene. [provided by RefSeq, Jul 2008]","15q21.2","600610","ENSG00000104064","A0A024R5R5_HUMAN","2553","654350"
"GABRR3","","gamma-aminobutyric acid type A receptor rho3 subunit (gene/pseudogene)","The neurotransmitter gamma-aminobutyric acid (GABA) functions in the central nervous system to regulate synaptic transmission of neurons. This gene encodes one of three related subunits, which combine as homo- or hetero-pentamers to form GABA(C) receptors. In humans, some individuals contain a single-base polymorphism (dbSNP rs832032) that is predicted to inactivate the gene product. [provided by RefSeq, Jan 2012]","3q11.2","","ENSG00000183185","GBRR3_HUMAN","200959","534578"
"GADD45A","DDIT1; GADD45","growth arrest and DNA damage inducible alpha","This gene is a member of a group of genes whose transcript levels are increased following stressful growth arrest conditions and treatment with DNA-damaging agents. The protein encoded by this gene responds to environmental stresses by mediating activation of the p38/JNK pathway via MTK1/MEKK4 kinase. The DNA damage-induced transcription of this gene is mediated by both p53-dependent and -independent mechanisms. Alternatively spliced transcript variants encoding distinct isoforms have been found for this gene.[provided by RefSeq, Dec 2010]","1p31.3","126335","ENSG00000116717","A5JUZ3_HUMAN","1647","80409"
"GALNT14","GALNT15; GalNac-T10; GalNac-T14","polypeptide N-acetylgalactosaminyltransferase 14","This gene encodes a Golgi protein which is a member of the polypeptide N-acetylgalactosaminyltransferase (ppGalNAc-Ts) protein family. These enzymes catalyze the transfer of N-acetyl-D-galactosamine (GalNAc) to the hydroxyl groups on serines and threonines in target peptides. The encoded protein has been shown to transfer GalNAc to large proteins like mucins. Alterations in this gene may play a role in cancer progression and response to chemotherapy. [provided by RefSeq, Jun 2016]","2p23.1","608225","ENSG00000158089","B7Z5C5_HUMAN","79623","468058"
"GATA4","TOF; ASD2; VSD1; TACHD","GATA binding protein 4","This gene encodes a member of the GATA family of zinc-finger transcription factors. Members of this family recognize the GATA motif which is present in the promoters of many genes. This protein is thought to regulate genes involved in embryogenesis and in myocardial differentiation and function, and is necessary for normal testicular development. Mutations in this gene have been associated with cardiac septal defects. Additionally, alterations in gene expression have been associated with several cancer types. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Apr 2015]","8p23.1","600576","ENSG00000136574","B3KUF4_HUMAN","2626","243987"
"GBA3","CBG; GLUC; KLRP; CBGL1","glucosylceramidase beta 3 (gene/pseudogene)","The protein encoded by this gene is an enzyme that can hydrolyze several types of glycosides. This gene is a polymorphic pseudogene, with the most common allele being the functional allele that encodes the full-length protein. Some individuals, as represented by the reference genome allele, contain a single nucleotide polymorphism that results in a premature stop codon in the coding region, and therefore this allele is pseudogenic due to the failure to produce a functional full-length protein. Alternative splicing of this gene results in multiple transcript variants. [provided by RefSeq, Mar 2013]","4p15.2","606619","ENSG00000249948","A8K9N1_HUMAN","57733","653107"
"GC","DBP; GRD3; VDBG; VDBP; GcMAF; DBP/GC; Gc-MAF; HEL-S-51","GC, vitamin D binding protein","The protein encoded by this gene belongs to the albumin gene family. It is a multifunctional protein found in plasma, ascitic fluid, cerebrospinal fluid and on the surface of many cell types. It binds to vitamin D and its plasma metabolites and transports them to target tissues. Alternatively spliced transcript variants encoding different isoforms have been found for this gene.[provided by RefSeq, Feb 2011]","4q13.3","139200","ENSG00000145321","VTDB_HUMAN","2638","418497"
"GCLC","GCL; GCS; GLCL; GLCLC","glutamate-cysteine ligase catalytic subunit","Glutamate-cysteine ligase, also known as gamma-glutamylcysteine synthetase is the first rate-limiting enzyme of glutathione synthesis. The enzyme consists of two subunits, a heavy catalytic subunit and a light regulatory subunit. This locus encodes the catalytic subunit, while the regulatory subunit is derived from a different gene located on chromosome 1p22-p21. Mutations at this locus have been associated with hemolytic anemia due to deficiency of gamma-glutamylcysteine synthetase and susceptibility to myocardial infarction.[provided by RefSeq, Oct 2010]","6p12.1","606857","ENSG00000001084","E1CEI4_HUMAN","2729","654465"
"GDPD3","GDE7","glycerophosphodiester phosphodiesterase domain containing 3","","16p11.2","616318","ENSG00000102886","GDPD3_HUMAN","79153","289015"
"GH1","GH; GHN; GH-N; GHB5; hGH-N; IGHD1B","growth hormone 1","The protein encoded by this gene is a member of the somatotropin/prolactin family of hormones which play an important role in growth control. The gene, along with four other related genes, is located at the growth hormone locus on chromosome 17 where they are interspersed in the same transcriptional orientation; an arrangement which is thought to have evolved by a series of gene duplications. The five genes share a remarkably high degree of sequence identity. Alternative splicing generates additional isoforms of each of the five growth hormones, leading to further diversity and potential for specialization. This particular family member is expressed in the pituitary but not in placental tissue as is the case for the other four genes in the growth hormone locus. Mutations in or deletions of the gene lead to growth hormone deficiency and short stature. [provided by RefSeq, Jul 2008]","17q23.3","139250","ENSG00000259384","B1A4G6_HUMAN","2688","655229"
"GHR","GHBP; GHIP","growth hormone receptor","This gene encodes a member of the type I cytokine receptor family, which is a transmembrane receptor for growth hormone. Binding of growth hormone to the receptor leads to receptor dimerization and the activation of an intra- and intercellular signal transduction pathway leading to growth. Mutations in this gene have been associated with Laron syndrome, also known as the growth hormone insensitivity syndrome (GHIS), a disorder characterized by short stature. In humans and rabbits, but not rodents, growth hormone binding protein (GHBP) is generated by proteolytic cleavage of the extracellular ligand-binding domain from the mature growth hormone receptor protein. Multiple alternatively spliced transcript variants have been found for this gene.[provided by RefSeq, Jun 2011]","5p13.1-p12","600946","ENSG00000112964","A0A087X0H5_HUMAN","2690","125180"
"GHRHR","GRFR; GHRFR; IGHD1B","growth hormone releasing hormone receptor","This gene encodes a receptor for growth hormone-releasing hormone. Binding of this hormone to the receptor leads to synthesis and release of growth hormone. Mutations in this gene have been associated with isolated growth hormone deficiency (IGHD), also known as Dwarfism of Sindh, a disorder characterized by short stature. [provided by RefSeq, Jun 2010]","7p14.3","139191","ENSG00000106128","A0A090N8Y6_HUMAN","2692","767"
"GHRL","MTLRP","ghrelin and obestatin prepropeptide","This gene encodes the ghrelin-obestatin preproprotein that is cleaved to yield two peptides, ghrelin and obestatin. Ghrelin is a powerful appetite stimulant and plays an important role in energy homeostasis. Its secretion is initiated when the stomach is empty, whereupon it binds to the growth hormone secretagogue receptor in the hypothalamus which results in the secretion of growth hormone (somatotropin). Ghrelin is thought to regulate multiple activities, including hunger, reward perception via the mesolimbic pathway, gastric acid secretion, gastrointestinal motility, and pancreatic glucose-stimulated insulin secretion. It was initially proposed that obestatin plays an opposing role to ghrelin by promoting satiety and thus decreasing food intake, but this action is still debated. Recent reports suggest multiple metabolic roles for obestatin, including regulating adipocyte function and glucose metabolism. Alternative splicing results in multiple transcript variants. In addition, antisense transcripts for this gene have been identified and may potentially regulate ghrelin-obestatin preproprotein expression. [provided by RefSeq, Nov 2014]","3p25.3","605353","ENSG00000157017","GHRL_HUMAN","51738","590080"
"GHSR","GHDP","growth hormone secretagogue receptor","This gene encodes a member of the G-protein coupled receptor family. The encoded protein may play a role in energy homeostasis and regulation of body weight. Two identified transcript variants are expressed in several tissues and are evolutionary conserved in fish and swine. One transcript, 1a, excises an intron and encodes the functional protein; this protein is the receptor for the Ghrelin ligand and defines a neuroendocrine pathway for growth hormone release. The second transcript (1b) retains the intron and does not function as a receptor for Ghrelin; however, it may function to attenuate activity of isoform 1a. Mutations in this gene are associated with autosomal idiopathic short stature.[provided by RefSeq, Apr 2010]","3q26.31","601898","ENSG00000121853","GHSR_HUMAN","2693","130212"
"GLRX","GRX; GRX1","glutaredoxin","This gene encodes a member of the glutaredoxin family. The encoded protein is a cytoplasmic enzyme catalyzing the reversible reduction of glutathione-protein mixed disulfides. This enzyme highly contributes to the antioxidant defense system. It is crucial for several signalling pathways by controlling the S-glutathionylation status of signalling mediators. It is involved in beta-amyloid toxicity and Alzheimer's disease. Multiple alternatively spliced transcript variants encoding the same protein have been identified. [provided by RefSeq, Aug 2011]","5q15","600443","ENSG00000173221","A0A024RAM2_HUMAN","2745","28988"
"GNA14","","G protein subunit alpha 14","This gene encodes a member of the guanine nucleotide-binding, or G protein family. G proteins are heterotrimers consisting of alpha, beta and gamma subunits. The encoded protein is a member of the alpha family of G proteins, more specifically the alpha q subfamily of G proteins. The encoded protein may play a role in pertussis-toxin resistant activation of phospholipase C-beta and its downstream effectors.[provided by RefSeq, Feb 2009]","9q21.2","604397","ENSG00000156049","GNA14_HUMAN","9630","657795"
"GORASP2","p59; GRS2; GOLPH6; GRASP55","golgi reassembly stacking protein 2","This gene encodes a member of the Golgi reassembly stacking protein family. These proteins may play a role in the stacking of Golgi cisternae and Golgi ribbon formation, as well as Golgi fragmentation during apoptosis or mitosis. The encoded protein also plays a role in the intracellular transport of transforming growth factor alpha and may function as a molecular chaperone. A pseudogene of this gene is located on the short arm of chromosome 2. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Jan 2011]","2q31.1","608693","ENSG00000115806","GORS2_HUMAN","26003","431317"
"GP1BA","BSS; GP1B; VWDP; CD42B; GPIbA; BDPLT1; BDPLT3; DBPLT3; GPIbalpha; CD42b-alpha","glycoprotein Ib platelet alpha subunit","Glycoprotein Ib (GP Ib) is a platelet surface membrane glycoprotein composed of a heterodimer, an alpha chain and a beta chain, that is linked by disulfide bonds. The Gp Ib functions as a receptor for von Willebrand factor (VWF). The complete receptor complex includes noncovalent association of the alpha and beta subunits with platelet glycoprotein IX and platelet glycoprotein V. The binding of the GP Ib-IX-V complex to VWF facilitates initial platelet adhesion to vascular subendothelium after vascular injury, and also initiates signaling events within the platelet that lead to enhanced platelet activation, thrombosis, and hemostasis. This gene encodes the alpha subunit. Mutations in this gene result in Bernard-Soulier syndromes and platelet-type von Willebrand disease. The coding region of this gene is known to contain a polymophic variable number tandem repeat (VNTR) domain that is associated with susceptibility to nonarteritic anterior ischemic optic neuropathy. [provided by RefSeq, Oct 2013]","17p13.2","606672","ENSG00000185245","GP1BA_HUMAN","2811","1472"
"GPC6","OMIMD1","glypican 6","The glypicans comprise a family of glycosylphosphatidylinositol-anchored heparan sulfate proteoglycans, and they have been implicated in the control of cell growth and cell division. The glypican encoded by this gene is a putative cell surface coreceptor for growth factors, extracellular matrix proteins, proteases and anti-proteases. Mutations in this gene are associated with omodysplasia 1. [provided by RefSeq, Nov 2016]","13q31.3-q32.1","604404","ENSG00000183098","GPC6_HUMAN","10082","444329"
"GPX1","GPXD; GSHPX1","glutathione peroxidase 1","The protein encoded by this gene belongs to the glutathione peroxidase family, members of which catalyze the reduction of organic hydroperoxides and hydrogen peroxide (H2O2) by glutathione, and thereby protect cells against oxidative damage. Other studies indicate that H2O2 is also essential for growth-factor mediated signal transduction, mitochondrial function, and maintenance of thiol redox-balance; therefore, by limiting H2O2 accumulation, glutathione peroxidases are also involved in modulating these processes. Several isozymes of this gene family exist in vertebrates, which vary in cellular location and substrate specificity. This isozyme is the most abundant, is ubiquitously expressed and localized in the cytoplasm, and whose preferred substrate is hydrogen peroxide. It is also a selenoprotein, containing the rare amino acid selenocysteine (Sec) at its active site. Sec is encoded by the UGA codon, which normally signals translation termination. The 3' UTRs of selenoprotein mRNAs contain a conserved stem-loop structure, designated the Sec insertion sequence (SECIS) element, that is necessary for the recognition of UGA as a Sec codon, rather than as a stop signal. This gene contains an in-frame GCG trinucleotide repeat in the coding region, and three alleles with 4, 5 or 6 repeats have been found in the human population. The allele with 4 GCG repeats has been significantly associated with breast cancer risk in premenopausal women. Alternatively spliced transcript variants and multiple pseudogenes of this gene have been identified. [provided by RefSeq, Jul 2016]","3p21.31","138320","ENSG00000233276","GPX1_HUMAN","2876","76686"
"GPX3","GPx-P; GSHPx-3; GSHPx-P","glutathione peroxidase 3","The protein encoded by this gene belongs to the glutathione peroxidase family, members of which catalyze the reduction of organic hydroperoxides and hydrogen peroxide (H2O2) by glutathione, and thereby protect cells against oxidative damage. Several isozymes of this gene family exist in vertebrates, which vary in cellular location and substrate specificity. This isozyme is secreted, and is abundantly found in plasma. Downregulation of expression of this gene by promoter hypermethylation has been observed in a wide spectrum of human malignancies, including thyroid cancer, hepatocellular carcinoma and chronic myeloid leukemia. This isozyme is also a selenoprotein, containing the rare amino acid selenocysteine (Sec) at its active site. Sec is encoded by the UGA codon, which normally signals translation termination. The 3' UTRs of selenoprotein mRNAs contain a conserved stem-loop structure, designated the Sec insertion sequence (SECIS) element, that is necessary for the recognition of UGA as a Sec codon, rather than as a stop signal. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Jul 2016]","5q33.1","138321","ENSG00000211445","GPX3_HUMAN","2878","386793"
"GPX4","MCSP; SMDS; GPx-4; PHGPx; snGPx; GSHPx-4; snPHGPx","glutathione peroxidase 4","The protein encoded by this gene belongs to the glutathione peroxidase family, members of which catalyze the reduction of hydrogen peroxide, organic hydroperoxides and lipid hydroperoxides, and thereby protect cells against oxidative damage. Several isozymes of this gene family exist in vertebrates, which vary in cellular location and substrate specificity. This isozyme has a high preference for lipid hydroperoxides and protects cells against membrane lipid peroxidation and cell death. It is also required for normal sperm development; thus, it has been identified as a 'moonlighting' protein because of its ability to serve dual functions as a peroxidase, as well as a structural protein in mature spermatozoa. Mutations in this gene are associated with Sedaghatian type of spondylometaphyseal dysplasia (SMDS). This isozyme is also a selenoprotein, containing the rare amino acid selenocysteine (Sec) at its active site. Sec is encoded by the UGA codon, which normally signals translation termination. The 3' UTRs of selenoprotein mRNAs contain a conserved stem-loop structure, designated the Sec insertion sequence (SECIS) element, that is necessary for the recognition of UGA as a Sec codon, rather than as a stop signal. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Oct 2016]","19p13.3","138322","ENSG00000167468","GPX4_HUMAN","2879","433951"
"GRAMD1B","","GRAM domain containing 1B","","11q24.1","","ENSG00000023171","A0A024R3M2_HUMAN","57476","144725"
"GRB2","ASH; Grb3-3; MST084; NCKAP2; MSTP084; EGFRBP-GRB2","growth factor receptor bound protein 2","The protein encoded by this gene binds the epidermal growth factor receptor and contains one SH2 domain and two SH3 domains. Its two SH3 domains direct complex formation with proline-rich regions of other proteins, and its SH2 domain binds tyrosine phosphorylated sequences. This gene is similar to the Sem5 gene of C.elegans, which is involved in the signal transduction pathway. Two alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]","17q25.1","108355","ENSG00000177885","B0LPF3_HUMAN","2885","444356"
"GRIA1","GLUH1; GLUR1; GLURA; GluA1; HBGR1","glutamate ionotropic receptor AMPA type subunit 1","Glutamate receptors are the predominant excitatory neurotransmitter receptors in the mammalian brain and are activated in a variety of normal neurophysiologic processes. These receptors are heteromeric protein complexes with multiple subunits, each possessing transmembrane regions, and all arranged to form a ligand-gated ion channel. The classification of glutamate receptors is based on their activation by different pharmacologic agonists. This gene belongs to a family of alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate (AMPA) receptors. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]","5q33.2","138248","ENSG00000155511","GRIA1_HUMAN","2890","519693"
